SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
Albert H Waite (1885,,J. Winslo,Schooner,1873,Pembrok,10/12/0188,1885,10,12,Barnegat I,39.7591339,-74.240059,38-05-08,73-05-30,Foundered in gale,,,114,29,13.8,294,,"Portland,",Philadelp,New Bedf,George A. Moore,,,,,,Coal & Lumber,,N,N,#105271; Partial loss,
Albert H Waite (1887,,John Mus,Schooner,1873,Pembrok,3/12/1887,1887,3,12,At sea,40.5592922,-105.0871974,,,Foundered; Abandoned,,,114,29,13.8,294,,Philadelp,Philadelp,New Bedf,George A. Moore,,,0,,,Coal,,Y,N,"#105271; Total loss; Crew saved by ""Decatur H Miller""",
Albert Mason,,,Schooner,1861,Patchogu,1/7/1891,1891,1,7,Holly Beach SE 4 mi,,,,,In distress,,,114.6,30.1,9.1,285.71,271.43,"New York,",Chickaho,"New York,",Gale,6,,0,"$8,000","$2,000",Railroad ti,Holly Bea,N,N,#742; Repaired,
Albert Vinal,,,Schooner,,,12/18/185,1852,12,18,Sandy Hook E 40 mi,,,,,Foundered in gale,,,,,,,,"Portland,",Philadelp,"Portland,",Anderson,,,,,,,,Y,N,Total loss,
Albert W Smith,,,Schooner,1873,Kennebu,4/11/1894,1894,4,11,Squan Beach NE .25 mi,,,,,Stranded,,,145,35,17,602,572,,Philadelp,Providenc,Berry,8,,8,"$12,000","$3,500",Coal,,,N,#105288,
Alberta,,,Schooner,1882,Baltimore,########,1911,10,12,Little Egg Harbor S 1 mi,,,,,Grounded,,,78.2,25.3,6.3,77,73,Chincotea,York River,"New York, NY",,4,0,0,"$3,000",$640,Lumber,Little Egg,N,N,#106113; Refloated,
Albertine Meyer,,J Diercks,Brig,,,2/6/1884,1884,2,6,Barnegat LSS SE .5 mi,,,,,Stranded,Wood,Germany,102.7,25.3,14.5,266,,"Rostock,","Bahia, Bra","New York,",Selck,9,0,0,"$10,000","$40,000",Sugar,Barnegat,Y,N,#770; Total loss,
Albion (1839),,,Brig,,,1/6/1839,1839,1,6,Cape May,,,,,Stranded,,,,,,,,,,,,,,,,,Flour,,,N,,
Albion (1847),,,Schooner,,,8/1847,1847,8,,Sandy Hook,,,,,Stranded,,,,,,,,,"Picton, NS","New York, NY",,5,0,0,,,,,Y,N,Total loss,
Albion (1857),,,Schooner,,,9/1857,1857,9,,Sandy Hook,,,,,Stranded,,,,,,,,,"Calais, Fra","Philadelphia, PA",,,,,"$3,000",,,,Y,N,Total loss,
Alert (1901),,,Sloop,1880,"Brooklyn,",7/4/1901,1901,7,4,Barnegat LSS E 2 mi,,,,,Struck sub,Wood,US,86.2,18.1,7.4,69,36,Philadelp,Little Egg,Fishing tri,T J Steelm,16,0,0,"$6,000",,None,Barnegat,Y,N,#105890; Total loss,
Alert (1929),,,Motor ves,1917,"Norfolk, V",########,1928,4,25,Highlands Light,,,,,Foundered,,,105.4,15,8.1,78,32,,,,,6,,0,,,,,,N,#223729; US Navy Subchaser #130,
Alert (1935),,,Trawler,,,########,1935,1,11,Sandy Hook,,,,,Collision w/ scow,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
Alexander Gibson,,,Schooner,1877,Thomasto,########,1915,11,28,Five Fathom Bank,,,,,Stranded,Wood,US,247.3,42.6,21.9,2194,1997,"New York,",Seawalls,"Boston, MA",,5,0,0,,,Coal,,Y,N,#105741; Total loss,
Alexander Wiley,,,Schooner,,,5/6/1878,1878,5,6,Little Egg Harbor LSS S 1 mi,,,,,Stranded,,,,,,64.83,,Baltimore,New Have,Baltimore,Beecher,4,0,0,"$3,000",,None,Little Egg,N,N,#1663; Refloated,
Alfred & Charles,,,Sloop,,,9/12/1838,1838,9,12,Cape May,,,,,Grounded in gale,,,,,,,,,,,,,,0,,,,,Y,N,Total loss,
Alfred C Harmer,,,Sloop,1873,"Bayport,",1/1/1897,1897,1,1,Little Egg LSS E 1.75 mi,,,,,Stranded,Wood,US,47.2,17.2,5.1,23,20,Somers P,Little Egg,"New York,",Endicott,2,0,0,"$1,000",$50,Wood,Little Egg,N,N,#105279; Refloated,
Alfred Hall,,G P Wrigh,Schooner,1854,Perth Am,1/23/1871,1871,1,23,Little Egg Harbor,,,,,Stranded,,,,,6,60,,"Baltimore, MD",,"New York,",Croft,5,0,6,,,,#17,,N,,
Alfred W. Fiske,,Elihu Kell,Schooner,1872,"Bath, ME",11/16/187,1872,11,16,Brigantine Beach,,,,,Stranded,,US,136.3,32.1,14.3,395.36,375.59,Providenc,Baltimore,"Boston, M",Elihu Kell,7,,0,"$25,000","$25,000",Coal,Atlantic Ci,N,N,#105114; Refloated,
Algol,James Bai,U S Mariti,Transport,1943,"Oakland,",########,1991,11,21,Shark Riv,40.2016834,-74.0751971,40-06-545,73-41-450,Explosive,Steel,US,456,63,66,,,NJ AR,SR,4,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Algoma,,J F Whitn,Ship,1872,,5/18/1889,1889,5,18,Long Beach LSS N .5 mi,,,,,Stranded,,England,,,,1184,,"Halifax, N",Rio de Jan,"New York,",Vego,19,,0,"$8,000",,In ballast,Long Bran,N,N,Refloated,
Alias,,,Motor ves,1912,,########,1939,8,20,"North Bergen, NJ",,,,,Fire,,,,,,10,,,,,,5,,0,,,,,,N,#209671,
Alice (1840),,,Brig,,,2/1840,1840,2,,Highland Light E 3 mi,,,,,Stranded,,US,,,,,,"Bath, ME","Bath, ME",Cuba,,,,,,,,,Y,N,"Ship, crew & cargo lost",
Alice (1841),,,Schooner,,,12/1841,1841,12,,Highlands Light N,,,,,Stranded,,US,,,,,,"Plymouth, MA",,,,,,,,,,,,N,Crew lost,
Alice (1867),,,Brig,,,10/11/0186,1867,10,11,Sandy Hook,,,,,Stranded,,,,,,,,,,,,,10,,,,,,,N,,
Alice (1879),,J S Winslo,Bark,1874,"Deering,",7/18/1879,1879,7,18,Absecon SSE 35 mi,,,,,"Collision w/ ""San Mi",,US,,,,504,,"Portland,","Caibarien,","New York,",F S Dyer,,,,,,,,N,N,Partial loss; Put in to New York,
Alice (1893),,M Jacobso,Bark,1865,Damarisc,2/6/1893,1893,2,6,Long Beach LSS S 1.75 mi,,,,,Ran aground in fog,,Norway,170,35,22,977,,"Arandal,","Dunkirk, F","New York,",Jacobsen,16,0,4,"$15,000",,None,Long Beach & Ship B,,Y,,
Alice (1946),,,Motor ves,1911,"Fairton, N",########,1946,5,26,Hereford Inlet S 1 mi,,,,,,,,31.7,10.4,3.2,6,5,,,,,1,0,0,,,,,,N,#222249,
Alice B (1889),,,Schooner,1863,Cleveland,4/30/1889,1889,4,30,Hereford Inlet North bar,,,,,Stranded,Wood,US,124,25.5,9.4,227.14,215.78,Barnstabl,"Rondout,",Wilmingt,Fisher,5,0,0,"$4,000","$5,000",Cement,,N,N,#1459; Refloated,
Alice B (1890),,,Schooner,1863,Cleveland,3/29/1890,1890,3,29,Absecon,39.4284503,-74.4957076,,,Collision,Wood,US,124,25.5,9.4,227.14,215.78,"Barnstable, MA",,,,,,,,,,,Y,N,#1459; Sank,
Alice Belle,,,Schooner,1877,"Bath, ME",5/16/1896,1896,5,16,Ocean City LSS E 1.25 mi,,,,,Stranded,,US,127,32,8,277,264,New Lond,"Gardiner,",Ocean Cit,Chadwick,6,0,0,"$3,500",$800,Ice,Ocean City,,N,#105156,
Alice Hearn,,W S Huds,Schooner,1880,"Milton, DE",9/11/1882,1882,9,11,Sandy Hook,,,,,Heavy Gale,,US,,,,347.42,,Philadelp,Baltimore,"Boston, M",Reuben H Pennewill,,,,"$20,000","$2,200",Coal,,,N,#105903,
Alice L Pearce,,,Schooner,,,11/23/187,1876,11,23,,,,,,Stranded,,US,,,,75,40.72,"Squan, NJ",Pamunke,"New York,",Green,6,0,0,"$5,000","$6,000",Tomatoes,Little Egg,N,N,#1725; Refloated,
Alice Lee,,,Schooner,,,12/14/185,1859,12,14,Squan Inlet S 2 mi,,,,,Stranded,Wood,US,,,,,,,"Boston, M",Philadelp,Foster,,,0,,,In Ballast,,,N,,
Alice M Lewis,,Jesse Lew,Schooner,1869,"Essex, MA",4/11/1879,1879,4,11,Townsends Inlet North bar,,,,,Stranded,,US,73.5,21,7.5,67,,Glouceste,"Gloucester, MA",,Jesse Lew,12,0,0,"$4,000","$1,500","Ice, Salt",Townsends Inlet,,N,#1794; $750 of cargo recovered,
Alice M Ridgway (1868),,,Schooner,1864,Tuckerton,3/20/1868,1868,3,20,Cape May Fishing Creek,,,,,Stranded;,Wood,US,53,19.4,4.6,26.08,24.78,Tuckerton,Cape May,Philadelp,Thomas M,4,0,4,"$1,600",,Gravel,,,N,#521; Refloated; Repaired,
Alice M Ridgway (1877),,,Schooner,1864,Tuckerton,2/14/1877,1877,2,14,Cold Spring Inlet South bar,,,,,Stranded,Wood,US,53,19.4,4.6,26.08,24.78,Cape May,Philadelp,Cape May,Cresse,3,0,0,"$1,600",$160,Coal,Cape May,N,N,#521,
Alice Ridgway (1888),,William E,Sloop,1880,Tuckerton,3/12/1888,1888,3,12,Little Egg LSS N .25 mi,,,,,Stranded,Wood,US,38.6,13.9,4,10.98,10.44,Tuckerton,Manahaw,"New York,",Brown,2,0,0,$800,$125,Oysters,Little Egg,N,N,#105893; Refloated,
Alice Ridgway (1897),,William E,Sloop,1880,Tuckerton,9/17/1897,1897,9,17,"Billingsport, NJ",,,,,Struck on jetty,,US,38.6,13.9,4,10.98,10.44,Tuckerton,Beach Hav,"Chester, P",William E,3,0,,$800,$50,Coal,,Y,N,#105893; Total loss,
Alice Starratt,,C W Berte,Brig Half,1866,"Rockland,",4/27/1874,1874,4,27,Sandy Hook SExE 90 mi,,,,,Disabled,,,119,28.9,11.7,362,,"Halifax, N","Port Caledonia, Cap",,B Tooker,,,,,,,,N,N,Towed to NY,
Alicia B Crosby,,E.S. Crosb,Schooner,1889,"Bath, ME",########,1911,1,31,Avalon LSS ENE 1.5 mi,,,,,Stranded,,US,204.4,40.3,18.5,113.58,101.7,"Bath, ME","Portland,",Philadelp,George W,10,0,0,"$50,000",,None,Avalon,N,N,#106682; Refloated,
Alida A Smith,,R Rose,Brig,1876,,3/15/1886,1886,3,15,Hereford Inlet South bar,,,,,Stranded,,,99.2,27,10.7,181,,"Windsor,",Cienfueg,Delaware,Card,7,0,0,$6,"$1,600",Molasses,Hereford Inlet,,N,,
Alisha Marie,,Robert Els,Scallop bo,2003,,########,2009,12,23,Barnegat Light E 26 mi,,,,,Capsized,Steel,US,38,,,,,Pt Pleasa,Pt Pleasa,Fishing se,Robert M,3,,2,,,,USCG Bar,Y,N,NJ8965GT,Scrapbook #15
Alknamook,,,Schooner,,New Lond,1/4/1876,1876,1,4,"Long Branch, NJ",,,,,Stranded,,,,,,40,,,"New York,",Fishing Banks,,6,,0,"$4,000",$0,None,#4,,N,,
Allair,,,Sailing ship,,,4/3/1740,1740,4,3,Sandy Hook,,,,,Foundered,,,,,,,,,,,,,,,,,,,,N,,
Allan R,,,Tug,,,########,2004,3,26,Cape May,38.9351125,-74.9060053,38-51-475,74-42-029,Scuttled,Steel,US,110,,,,,NJ AR,CM,186,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Allen Osborn,,,Schooner,,,1838 - 187,1860,,,Barnegat Inlet N 1-2 mi,,,,,Stranded,,,,,,,,,,,,,,,,,,,,N,,
Allentown (1879),,Philadelp,Steamshi,1874,Philadelp,1/25/1879,1879,1,25,"Hereford Inlet, NJ",,,,,Dismasted,,,,,,1283,910,Philadelp,Philadelp,"Boston, M",A.B. Mills,18,,0,"$200,000","$4,809",1603 ton coal,,N,N,#105409; Made Philadelphia for repairs,
Allentown (1886),,Philadelp,Steamshi,1874,Philadelp,2/26/1886,1886,2,26,Barnegat E,,,,,Lost main mast,,,,,,1283,910,Philadelp,"Boston, M",Philadelp,William M,18,,0,"$127,000",,In ballast,,N,N,#105409; Repaired,
Allentown (1917),,,Barge,1908,"Noank, CT",########,1917,3,31,Highlands,,,,,"Collision w/ ""Coamo""",,,183.3,35,14.7,842,744,,,,,,,,,,,,,N,#205508,
Allie B Cathrall,,,Schooner,1885,"Milford, D",11/16/189,1893,11,16,Absecon Inlet,,,,,Grounded,Wood,US,97.3,26.2,6.3,108.95,103.51,Wilmingt,"New York,",Atlantic Ci,Hubbard,5,,0,"$5,000",$750,Lumber,,N,N,#106343; Refloated,
Allie Bickmore,,,Schooner,,,7/12/1874,1874,7,12,Long Beach Island,,,,,Stranded,,,,,,,,,,,,,,,,,Corn,,,Y,,
Allies,,T Cowan,Brig,1855,Nova Scot,3/30/1863,1863,3,30,Corsons Inlet,,,,,Foundered,,England,98.6,21.1,11.1,149,,Whitehav,"Cow Bay,","New York,",Christoph,10,,0,,,"Cotton, Wool, hides",,Y,N,Ship lost; cargo saved,
Alma (1908),,,Tug steam,1905,Manchest,########,1908,12,22,Cold Spring LSS E 2.5 mi,,,,,Foundered,,,49.1,12,5.5,17,6,Richmond,"Bellevue,","Cold Spring, NJ",,5,,0,"$7,500",$500,,Cold Sprin,Y,N,#202292; Sank w Barge No 4 in tow,
Alma (1924),,Gustave J,Motor ves,1917,Wildwoo,1/5/1924,1924,1,5,Five Fathom Bank Lightship,,,,,Foundere,Wood,,31.3,10.9,4.7,8,6,Philadelp,Wildwoo,Fishing tri,Gustave J,5,,0,"$2,000",,200 lb cod,,Y,N,#214953; Total loss,
Almar,,,Yacht mot,1933,,########,1937,6,28,Stone Harbor SE,,,,,Burned,,,,,,19,,,,,,1,,0,,,,,Y,N,#232794; Total loss,
Almirante,Flour Wre,United Fr,Passenger,1909,"Belfast, Ir",9/6/1918,1918,9,6,Atlantic Ci,39.3642834,-74.4229266,39-21-12,74-11-31,Collision,Steel,US,379,50,29,5010,3120,"New York,","New York,","Havana, Cuba",,98,7,5,,,"Flour, general cargo",,Y,Y,Hydro # 596,
Aloha,,,,,,5/8/1907,1907,5,8,Barnegat,39.7649223,-74.2693297,,,,,,,,,,,,,,,,,,,,,,N,N,"Ring buoy marked ""Aloha"" found on beach",
Alpha,,,Freighter,1881,Philadelp,########,1911,12,31,Atlantic City N 1 mi,,,,,Stranded,Iron,US,161.6,23.5,8,366,297,Somers P,Philadelp,"Atlantic City, NJ",,13,,0,"$25,000","$6,000",General,Absecon,N,Y,Refloated,
Altair,,Socony Va,Tanker,1920,"Chester, P",########,1943,11,21,Delaware Bay entrance,,,,,"Collision w/ ""Bostonian""",,,429,59,33,6933,,"New York,",Puerto la,Paulsboro,Rein Schn,59,,10,,,Crude oil,,Y,N,Burned; Total loss,
Altavela,,Rufus C W,Schooner,1853,"Searsport,",5/2/1884,1884,5,2,Barnegat LSS ENE 1 mi,,,,,Stranded,,,102.2,27.6,8.2,183,,"Brooklin,","Blue Hill,",Washingt,Wells,5,,0,"$3,000","$2,000",Stone,Barnegat,Y,N,#211; Total loss,
Altavelia,,Allen C H,Schooner,1870,"Ellsworth,",11/6/1866,1866,11,6,Delaware Capes N 10 mi,,,,,Capsized in gale,,,98,27.8,7.2,119,,"Ellsworth, ME",,,,,,0,,,1000 bbls fish oil,,Y,N,#1957; Crew saved,
Alva B,,E H Hallm,Launch gas,,,########,1906,7,29,Hereford Inlet bar,,,,,Capsized in storm,,,,,,,,Grassy So,"Anglesea,",Fishing trip,,11,,1,$400,,,Hereford I,Y,N,"Also see ""Nora""",
Alva Cape,,Alva SS Co,Tanker,1953,"Greenock,",########,1966,6,16,"Kill van Kull, NY",,,,,Collision,Steel,England,546,69,30,11252,,"London, England",,"Kill van Kull, NY",,,,33,,,"143,000 bbls naptha",,Y,N,Exploded; Later scuttled at sea,
Alvega,,Stephens,Bark,1874,River Joh,4/5/1886,1886,4,5,Barnegat SE 15 mi,,,,,"Collision w/ ""Quebe",,Norway,183.7,37,22.4,1062,,"Arendal,",Amsterda,Philadelp,Samuel Gallus,,,,,,,,N,N,Partial Loss; towed in,
Alvena,Glengyle,Atlas SS C,Steamshi,1870,"Glasgow,",1/19/1897,1897,1,19,Sandy Hook,,,,,Collision,Iron,England,274.2,32.9,24.4,1741,1142,"Liverpool,","New York,",Haiti,Dow,46,2,0,,,General,,Y,N,"Crew rescued by ""Walter Adams""; Total loss",
Always Late,,,Sport fishing boat,,,########,2009,9,19,Cape May E 55 mi,,,,,Flooded; Sank,,US,48,,,,,,Ocean Cit,Fishing trip,,8,,0,,,,USCG Atla,Y,N,Rescued b,Scrapbook #15
Amagagoc,,,Morgan 41',,,########,1972,5,20,Brigantine,,,,,Stranded,,,,,,,,,,,,,,,,,,,N,N,"Refloated; See ""Five Sloops""",
Amazing Grace,,Wanches,Fishing trawler,,,########,1984,11,15,"Ocean City, MD E 100 mi",,,,,Lost at sea,Steel,US,87,,,,,"Hampton, VA",,,Paul Robl,9,,9,"$500,000",,,,Y,N,Pesummed lost,
Amazon,,,Schooner,,,4/26/1851,1851,4,26,Barnegat NE 8 mi,,,,,"Collision w/ ""Kenebec""",,,,,,,,Philadelp,"New York,",Philadelp,Steelman,,,,,,In ballast,,Y,N,Total loss,
Amberjack III,,Vincent A,Fishing bo,1946,"Bayonne,",########,1969,7,13,Sandy Hook,,,,,Collision,Wood,US,76,17.7,4.4,12,8,"New York,",Sheepshe,Fishing tri,Fred Ardo,48,,1,,,,,Y,N,#251229; Sank,
Ambrose Lightship,,U S Coast,Lightship,,,########,1950,3,28,Sandy Hook,,,,,"Rammed in fog by ""Santa Monica""",,,,,,,,,,,,,,,,,,,N,N,Hull punctured,
Ambrose,Relief Lig,U S Coast,Relief Lig,1904,"Camden,",########,1960,6,24,Ambrose,37.5846296,-95.7409858,40-27-00,73-49-06,Collision,Steel,US,129,28,14,631,,"New York, NY",,Lightship service,,9,,0,,,,,Y,N,Sank; Crew rescued,
Ambrose Snow No 12,,,Pilot boat,,,########,1912,5,13,New York Harbor Lower Bay,,,,,"Collision w/ ""Delaware""",,,,,,,,,,,,,,0,,,,,N,N,Refloated,
Amelia (1811),,,Ship,,,2/16/1811,1811,2,16,Sandy Hook,,,,,Wrecked,,England,,,,,,,England,"New York, NY",,,,,,,,,Y,N,Total loss,
Amelia (1860),,,Ship,,,3/20/1860,1860,3,20,Great Egg,39.3042822,-74.6496034,39-17-30,74-32-30,Stranded & bilged,,,,,9,,,"New York,",New Orle,"New York,",Raymond,16,,,"$60,000",,Flour,,Y,N,Total loss,
Amelia (1864),,,Bark,,,4/10/1864,1854,4,10,Long Beach Island,,,,,Grounded,,England,,,,,,,Demerara,"New York,",Jenkins,,,,,,"Brandy, molasses",,Y,N,,
Amelia (1870),,,Schooner,,,2/11/1870,1870,2,11,Sandy Hook,,,,,Collision,,,,,,,,,"New York,",Virginia,,,,,,,,,N,N,Towed to NY for repairs,
Amelia (1924),,Atlantic N,Steamshi,1906,Wallsend-,########,1924,2,18,Brigantine Shoal,,,,,Stranded,Steel,US,227.3,31.7,13.7,1271,743,"New York, NY",,,,23,,,"$60,000",,Bananas,,N,N,#215327; Refloated,
Amelia Brewer,,Welsh & C,Bark,1853,"Rockland,",4/10/1864,1864,4,10,Townsends Inlet,,,,,Grounded,,,,,,422,,,New Orle,"Boston, MA",,,,,,,"Cotton, Molasses, etc.",,,N,,
Amelia Furman,,,Schooner,,,########,1902,11,28,"Long Branch, NJ",,,,,"Pucntured, Bilged at anchor",,,,,,,,,,,,4,,0,,,,Long Bran,Y,N,,
Amelia Hodgkins,,,Schooner,,,3/3/1877,1877,3,3,Egg Harbor,,,,,Lost sails and masthead,,,,,,,,,Chesapea,"Provincetown, MA",,,,,,,,,N,N,Partial loss,
Amelia P Schmidt (1886),,,Schooner,1883,Dennisvill,5/16/1886,1886,5,16,"Long Branch, NJ",,,,,Damaged in squall,,,128.9,32.3,8.9,279.93,265.93,Bridgeton,Domingo,"New York,",Pashley,,,,,,,,N,N,#106235,
Amelia P Schmidt (1887),,,Schooner,1883,Dennisvill,5/13/1887,1887,5,13,Cape May LSS S 2 mi,,,,,Stranded,,,128.9,32.3,8.9,279.93,265.93,Bridgeton,Kennebec,Bridgeton,Pashley,7,,0,"$30,000","$3,200",#106235,Cape May,,N,#106235,
Amelia P Starkey,,Kelly et al,Schooner,1853,"Essex, MA",5/9/1855,1855,5,9,Highlands E 8 mi,,,,,Dismasted,,,,,9,96,,,,,,,,,,,,,N,N,,
Amelia Priest,,,Bark,,,10/29/186,1864,10,29,Highlands SE 40 mi,,,,,"Collision w/ ""Kenneth""",,,,,,,,,Philadelp,"Havre, France",,,,,,,,,N,N,Made NY for repairs,
America (1855),,,Tug steam,,,2/1855,1855,2,,Cape May,,,,,In distress,,,,,,,,,,,,,,,,,,,,N,Caught in ice,
America (1866),,,Steamship,,"Hoboken,",10/5/1866,1855,10,5,Barnegat Shoal,,,,,Stranded,,US,,,,,,,Wilmingt,"New York,",Ready,20,,0,,,Cotten,,,N,,
America (1875),,,Sloop,1839,Stoningto,3/19/1875,1875,3,19,Little Egg Harbor bar,,,,,Grounded,,,,,,25.34,,,,,Ford,6,,0,"$1,500",$300,Cod,Little Egg,N,N,#1013; Refloated,
America (1879),,,Sloop,1839,Stoningto,2/20/1879,1879,2,20,Little Egg Harbor,,,,,Stranded,,,,,,25.34,,"Greenport, NY",,"New York,",Ford,,,,,,Cod,,N,N,#1013; Refloated,
America (1910),,,Steamshi,1907,,########,1910,11,2,"Rancocas Creek, NJ",,,,,Burned,,,,,,32,,,,,,3,,0,,,,,,N,#204568,
American (1851),,,Brig,,,4/4/1851,1851,4,4,Long Beach Island,,,,,Stranded; Bilged,,US,,,,,,,"Savannah,","New York,",Ross,,,,,,,,Y,N,Total loss,
American (1909),,,Freighter,1900,"Chester, P",########,1909,12,21,Brigantine LSS SE 4 mi,,,,,Stranded,Steel,,406.8,51.1,30.3,5591,3643,"New York,","Puerto, M","New York, NY",,46,,,"$500,000","$400,000",General,Brigantine,,N,#107591,
American (1913),,Standard,Steamshi,1892,Newcastl,########,1913,2,22,Sea Isle City LSS E .75 mi,,,,,Stranded,Steel,Netherlan,345.4,44.1,27.6,3520,2266,Rotterda,"Antwerp,","Philadelphia, PA",,37,,0,"$100,000",,in ballast,Sea Isle Ci,N,N,Refloated,
American (1918),,,Transport,,,########,1918,10,18,"Hoboken, NJ",,,,,Sank at pier,,,,,,,,,,,,,,,,,,,Y,N,,
American (1925),,,Tanker ba,1898,"New York,",########,1925,10,14,Absecon L,39.4284503,-74.4957076,39-14-40,74-22-50,Stranded,Steel,US,,,,836,753,"Baltimore, MD",,,,4,,0,,,,,,N,#107433,
American,Roy M,The Lobst,Schooner,1921,"Essex, MA",6/3/1985,1985,6,3,Atlantic Ci,39.3642834,-74.4229266,39-13-855,74-12-332,Opened h,Wood,US,125,18,12,,,NJ AR,AC,3,,,,,,,,,Y,Y,Cocktail l,See scrapbooks 38 - 43 - Purple Misc
American System,,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,,,Stranded in gale,,,,,,,,Staten Isl,Virginia,"New York, NY",,,,,,,General,,,N,Driven ashore,
Amerika,,,Bark,,,12/26/184,1841,12,26,Sandy Hook,,,,,Sank,,Sweden,,,,,,,"Trapani, It","New York,",Falkman,,,,,,,,Y,N,,
Amity,,,Packet shi,1816,"New York,",4/23/1824,1824,4,23,Squan Beach,,,,,Stranded in fog,,,106.6,28.6,14.3,382,,,"Liverpool,","New York,",John Stantion,,,,,,,,,N,,
Amos Briggs,,,Schooner,1868,"Cornwall,",########,1921,4,14,Sandy Hook,,,,,Stranded,,,86,26.5,6,93,88,"Newark, NJ",,,,7,,0,,,,,,N,#1401,
Amy Keller,,,Tug,,,########,1940,2,18,"Hoboken, NJ",,,,,Sank,,,,,,,,,,,,,,1,,,,,Y,N,,
Anastasia,,Southern,Barge,1919,Jacksonvil,########,1933,2,15,Seaside H,39.944285,-74.0729139,39-57-00,73-53-00,Foundere,Wood,,228.1,37,19.3,1313,,Philadelp,"Norfolk, V","New York,",R J Rowla,4,,4,"$40,000",,,,Y,N,#219004; Hydro Office #213,
Anderson (1863),,,Ship,,,9/7/1863,1863,9,7,Absecon,39.4284503,-74.4957076,39-14-40,74-36-30,Grounded,,Italy,,,15,,,"Lisbon, Po","Lisbon, Po","New York,",Posey,16,,,,,"Wool, marble, salt,",,Y,N,Total loss,
Anderson (1871),,,Sloop,,,3/16/1871,1871,3,16,Atlantic City Lighthouse,,,,,Stranded,,,,,,,,,"New York, NY",,,,,,,,Clams,,N,N,Probably refloated,
Andes (1894),,Atlas SS C,Steamshi,1865,"Glasgow,",1/22/1894,1894,1,22,Little Egg Harbor S 4 mi,,,,,Stranded,Iron,England,294,32.5,27.1,1869,1197,"Kingston,","Sabanilla,","New York,",Williams,42,,0,"$150,000","$150,000",General,Litle Beac,N,N,#5426; Refloated,
Andrea Doria,,Societa di,Passenger,1950,"Genoa, Ita",########,1956,7,25,Nantucke,41.2834704,-70.099451,40-29-408,69-51-046,Collision,Steel,Italy,696,88.6,45.4,29100,,"Genoa, Ita","Genoa, Ita","New York,",Piero Cala,575,1241,47,,,,,Y,Y,sank in 11 hours,
Andrew,,,Merchantman,,,1820,1820,,,Barnegat Beach,,,,,Stranded,,,,,,,,,"Liverpool,",Philadelp,Hathaway,,,0,,,Assorted cargo,,Y,N,Crew & cargo saved,
Andrew H Edwards,,,Schooner,1866,"Camden,",6/28/1888,1888,6,28,Island Beach LSS S 1 mi,,,,,Stranded,Wood,US,113,30,8,233.76,222.76,"Boston, M",Fairhaven,Philadelp,Dollridge,5,,0,"$4,000",,,,Y,N,#934; Total loss,
Andrew Jackson,,D D Kelley,Barge,1864,"Boston, MA",,,,,Sandy Hook Romer Shoal,,,,,,,,183,36,23,1095,,"Boston, MA",,,,,,,,,,,N,N,Never lost or damaged,
Andrew Jackson (18,,Rogers &,Sailing Ship,,,11/26/181,1818,11,26,Barnegat,39.7649223,-74.2693297,39-36-00,74-12-06,Stranded,Wood,US,,,,,,,"Bristol, En","New York,",Morton,,60,0,,,Heavy assorted carg,,Y,N,Some cargo saved; ship total loss,
Andrew Nebinger,,Phil Fitzp,Schooner,1873,"Milford, D",3/12/1888,1888,3,12,Highlands Light,,,,,Collision,Wood,,127,32.8,9.7,293.7,279,Philadelp,Jacksonvil,"New York,",W T Smith,7,,,"$7,000","$3,000",440 ton Yellow pine lumber,,,N,#105299,
Andria Doria,,Revolutio,Brig,,,11/1777,1777,11,,Delaware River,,,,,Burned,Wood,US,,,,,,,,,,130,,,,,,,Y,N,Burned to prevent British capture,
Angelina,,,Brig,,,9/1853,1853,9,,Highlands SE 12 mi,,,,,Capsized,,,,,,,,"Boston, M","Boston, M",Philadelp,Warren,,,,,,,,Y,N,Sank; Total loss,
Angelina Brewer,,,Bark,,,2/20/1864,1864,2,20,Pecks Bea,,,39-14-40,74-36-50,Stranded,,,,,,,,"New York,",New Orle,"New York, NY",,,,0,,,Cotton,,Y,N,Total loss,
Angeline Corning,,,Steamshi,1852,,11/21/187,1872,11,21,"Guttenberg, NJ",,,,,Burned,,,,,,98,,,,,,,,,,,,,,N,,
Angelo's,Hail Mary II,,Fishing bo,1993,,########,2006,11,4,Axel Carls,,,40-02-625,73-59-205,Scuttled,Steel,US,63,,,,,NJ AR,AXC,436,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
